module,total,Called arity analysis ,CodeGen ,Common sub-expression ,CorePrep ,CoreTidy ,Demand analysis ,Desugar ,Exitification transformation ,Float inwards ,"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False}) ","Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True}) ",Parser ,Renamer/typechecker ,Simplifier ,Specialise ,Worker Wrapper binds 
src/Network/HaskellNet/IMAP/Parsers.dump-timings,4502.4490000000005,Just 1.1e-2,Just 1865.095,Just 1.2e-2,Just 4.4e-2,Just 22.67,Just 136.06,Just 5.969,Just 1.1e-2,Just 1.7e-2,Just 26.253,Just 91.178,Just 3.916,Just 37.876,Just 2307.45,Just 3.899,Just 1.988
src/Network/HaskellNet/SMTP/Internal.dump-timings,1289.913,Just 1.3e-2,Just 508.993,Just 1.7e-2,Just 5.3000000000000005e-2,Just 6.025,Just 62.629999999999995,Just 3.737,Just 1.1e-2,Just 2.0999999999999998e-2,Just 8.803,Just 29.028,Just 2.097,Just 47.309,Just 617.688,Just 1.118,Just 2.37
src/Network/HaskellNet/IMAP.dump-timings,1212.1830000000002,Just 1.2e-2,Just 468.345,Just 1.2e-2,Just 7.100000000000001e-2,Just 7.767,Just 36.66,Just 6.934,Just 1.3e-2,Just 1.8e-2,Just 18.462,Just 14.013,Just 5.434,Just 53.189,Just 598.765,Just 1.868,Just 0.62
src/Text/Packrat/Parse.dump-timings,1177.7859999999998,Just 1.7e-2,Just 510.869,Just 1.0e-2,Just 4.7e-2,Just 7.708,Just 31.497,Just 12.886,Just 1.0e-2,Just 2.3e-2,Just 13.2,Just 28.685,Just 4.858,Just 42.884,Just 522.971,Just 1.389,Just 0.732
src/Network/HaskellNet/POP3.dump-timings,895.4020000000003,Just 1.2e-2,Just 303.527,Just 1.3e-2,Just 5.1000000000000004e-2,Just 5.293,Just 32.105,Just 10.178,Just 1.0e-2,Just 1.7e-2,Just 15.058,Just 12.767,Just 4.998,Just 59.334,Just 450.23100000000005,Just 1.112,Just 0.696
src/Network/HaskellNet/Auth.dump-timings,594.8159999999999,Just 1.3e-2,Just 164.53300000000002,Just 1.2e-2,Just 5.1000000000000004e-2,Just 5.324,Just 19.624000000000002,Just 27.017,Just 1.5e-2,Just 2.0e-2,Just 2.159,Just 8.365,Just 0.807,Just 71.878,Just 294.11400000000003,Just 0.421,Just 0.463
src/Network/HaskellNet/IMAP/Types.dump-timings,544.076,Just 1.2e-2,Just 295.602,Just 1.3e-2,Just 4.7e-2,Just 3.954,Just 14.388000000000002,Just 2.53,Just 2.0e-2,Just 1.9e-2,Just 6.742,Just 5.372,Just 0.88,Just 12.051,Just 200.729,Just 1.201,Just 0.516
src/Network/HaskellNet/SMTP.dump-timings,279.763,Just 2.1e-2,Just 90.393,Just 1.0e-2,Just 4.6e-2,Just 2.201,Just 9.637,Just 1.645,Just 1.1e-2,Just 4.3000000000000003e-2,Just 4.473,Just 3.893,Just 2.422,Just 10.957,Just 153.011,Just 0.726,Just 0.274
src/Network/Compat.dump-timings,218.079,Just 1.0e-2,Just 38.766,Just 8.0e-3,Just 4.8e-2,Just 1.816,Just 2.322,Just 5.456,Just 1.1e-2,Just 1.6e-2,Just 1.443,Just 1.248,Just 0.586,Just 78.157,Just 87.819,Just 0.244,Just 0.129
src/Text/Packrat/Pos.dump-timings,92.798,Just 1.9e-2,Just 47.733999999999995,Just 1.1e-2,Just 4.5e-2,Just 0.998,Just 2.143,Just 0.963,Just 8.0e-3,Just 2.8999999999999998e-2,Just 0.901,Just 1.182,Just 0.454,Just 3.223,Just 34.817,Just 0.149,Just 0.122
src/Network/HaskellNet/IMAP/Connection.dump-timings,62.491,Just 1.3e-2,Just 27.909,Just 1.0e-2,Just 4.3e-2,Just 0.982,Just 2.1399999999999997,Just 0.644,Just 1.1e-2,Just 1.9e-2,Just 1.181,Just 0.857,Just 0.73,Just 3.725,Just 23.748000000000005,Just 0.386,Just 9.3e-2
src/Network/HaskellNet/POP3/Types.dump-timings,48.498000000000005,Just 1.2e-2,Just 26.471,Just 9.0e-3,Just 3.7e-2,Just 0.5,Just 0.649,Just 0.261,Just 1.4e-2,Just 2.1e-2,Just 0.505,Just 0.425,Just 0.25,Just 1.997,Just 17.158,Just 9.9e-2,Just 9.0e-2
src/Network/HaskellNet/BSStream.dump-timings,42.066,Just 1.1e-2,Just 18.283,Just 1.0e-2,Just 4.5e-2,Just 0.423,Just 0.877,Just 0.648,Just 1.5e-2,Just 2.1e-2,Just 0.395,Just 0.561,Just 0.376,Just 3.191,Just 17.055,Just 9.1e-2,Just 6.4e-2
src/Network/HaskellNet/Debug.dump-timings,35.611999999999995,Just 1.4e-2,Just 19.076,Just 8.0e-3,Just 4.3e-2,Just 0.312,Just 0.9319999999999999,Just 0.371,Just 9.0e-3,Just 2.3e-2,Just 0.487,Just 0.563,Just 0.518,Just 1.994,Just 11.097,Just 7.8e-2,Just 8.7e-2
src/Network/HaskellNet/POP3/Connection.dump-timings,10.491999999999999,Just 1.0e-2,Just 6.747,Just 9.0e-3,Just 4.5e-2,Just 0.167,Just 0.21400000000000002,Just 0.169,Just 8.0e-3,Just 1.9e-2,Just 0.12,Just 0.11,Just 0.196,Just 0.841,Just 1.7710000000000001,Just 3.8e-2,Just 2.8e-2
